name,address,rating
Domeva Caffé,"24 - 26, rue de Bourgogne 69009 Lyon","8,8"
Soleil Levant,"204, rue Garibaldi 69003 Lyon","8,4"
Lem Sushi,"3, place des Cordeliers 69002 Lyon","8,5"
Steak & Co,"67 bis, cours Vitton 69006 Lyon","8,2"
Au Vilain Petit Canard,"41, rue Franklin 69002 Lyon","8,6"
Etcheberry,20 Rue Palais Grillet 69002 Lyon,"8,4"
Entr'acte,"46, rue Ferrandière 69002 Lyon","8,8"
Brasserie Debourg,"29, avenue Debourg 69007 Lyon","8,3"
Délices et Sens,"19, rue Gentil 69002 Lyon","8,5"
Aromo,15 Rue Montesquieu 69007 Lyon,"9,3"
Le Bistrot de Montchat,"72, cours Docteur Long 69003 Lyon",9
Saveur d'Orient,46 Cours Charlemagne 69002 Lyon,9
L'Allegria Tre,21 Rue du Bât-d'Argent 69001 Lyon,"8,1"
Place des Sens,"5, place Edgar Quinet 69006 Lyon",9
Grand Café de la Préfecture,"10, rue Servient 69003 Lyon","8,5"
Prairial,11 Rue Chavanne 69001 Lyon,"9,1"
Eat Sushi,"27, quai Jean Moulin 69002 Lyon","8,4"
Le Potager des Halles,"3, rue de la Martinière 69001 Lyon","8,8"
Cabaret L'Âne Rouge - Dîner Spectacle,"11, rue Juiverie 69005 Lyon","8,9"
Arsenic,"132, rue Pierre Corneille 69003 Lyon","9,1"
Appart'68 - Fabrice BONNOT,"68, rue de la Charité 69002 Lyon","8,2"
Tutti Quanti,"52, avenue Félix Faure 69003 Lyon","8,8"
La Favorite,"16, rue de la Favorite 69005 Lyon","8,8"
La Cantine du Palais,"158, rue de Crèqui 69003 Lyon","9,1"
Le Café de la Mairie,"44, quai Pierre Scize 69009 Lyon","8,9"
Sambahia,"13, rue du Doyenné 69005 Lyon","8,7"
Cantabria,"32 Rue du Bourbonnais, Lyon, France 69009 Lyon","8,9"
Le Ras Le Bol,"67, place Voltaire 69003 Lyon","8,5"
L'Etincelle,"13, rue Hippolyte Flandrin 69001 Lyon","8,1"
La Grillardière,"4, rue Lainerie 69005 Lyon","8,6"
Le Tire Bouchon,16 Rue du Bœuf 69005 Lyon,"8,8"
La Trattoria de Saint-Jean,"31, rue Saint-Jean 69005 Lyon","8,1"
Second Souffle,"5, rue Neuve 69001 Lyon","9,2"
Le Café du Jura,"25, rue Tupin 69002 Lyon",9
Le Comptoir des Canuts,"9, rue Dumont d'Urville 69004 Lyon","8,5"
Monplaisir Côte Cour,"64, avenue des Frères Lumières 69008 Lyon","8,7"
Pléthore et Balthazar,"72, rue Mercière 69002 Lyon","8,6"
La Régate,"88, cours Vitton 69006 Lyon",9
Carré Royal,"16 Rue Royale, Lyon, France 69001 Lyon","9,1"
IBIZA Café Restaurant,"21, Rue Pouteau 69001 Lyon","7,3"
L'Accord Parfait,49 rue de la Charité 69002 Lyon,8
Maître Boeuf,"6, place de la Baleine 69005 Lyon","8,4"
Cocoo Thaï,7 Rue Neuve 69001 Lyon,8
Tokyo,"26, rue Servient 69003 Lyon","8,3"
L'Italiano Vero,96 Route de Genas 69003 Lyon,"8,5"
La Petite Auberge,"2, place Eugène Wernert 69005 Lyon","8,7"
Le Bouchon Sully,20 Rue Sully 69006 Lyon,"8,9"
Une Affaire de Goût,25 Rue de Sèze 69006 Lyon,"8,9"
SidOlivier,"68, rue de Gerland 69007 Lyon","8,3"
Brasserie Léon de Lyon,"1, rue Pléney, angle 4 Rue du Plâtre 69001 Lyon","8,8"
A Ma Vigne,"23 Rue Jean Larrive, Lyon, France 69003 Lyon","9,3"
La Lambretta,"74, rue de Marseille 69007 Lyon","8,9"
Buenos Aires,"12 Rue Neuve, Lyon, France 69002 Lyon","9,2"
Les Fils à Maman,"25, rue de l'Arbre Sec 69001 Lyon",9
Ksar,"4 Rue Grobon, Lyon, France 69001 Lyon","8,4"
A Nous les Caprices,"50, rue Franklin 69002 Lyon","8,9"
Le Gabion,13 boulevard Eugène Deruelle 69003 Lyon,"8,6"
Le Petit Saint Petersbourg,"49, rue Garibaldi 69006 Lyon","7,9"
Café Chenavard,"20 Rue Paul Chenavard, 69001 Lyon, France 69001 Lyon","8,6"
Le Restaurant des Îles,"4, place Carnot 69002 Lyon","8,5"
Jérémy Galvan Restaurant,"29, rue du Boeuf 69005 Lyon","9,4"
L'Assiette du Parc,"53, rue Duquesne 69006 Lyon",9
Moody's Dinner Club,28 Rue René Leynaud 69001 Lyon,"8,6"
Brasserie L'Ouest,"1, quai du Commerce 69009 Lyon","8,4"
Bistrot Jul,"2, quai de Bondy 69005 Lyon","8,9"
La Bonâme de Bruno,"5, grande rue des Feuillants 69001 Lyon","8,6"
Mama Shelter Lyon,"13, rue Domer 69007 Lyon","8,6"
Argenson,"40, Allée Pierre de Coubertin 69007 Lyon","8,6"
Silk Brasserie - Hôtel Sofitel,"20, quai Gailleton 69002 Lyon","8,9"
Le Buron de Lyon,"16, rue Fenelon 69006 Lyon","8,6"
Le Monde d'Angkor,"27, Quai Jayr, Lyon, France 69009 Lyon",9
Épicerie,"24, cours Albert Thomas 69008 Lyon","8,7"
Koubalibre,4 Rue du Palais de Justice 69005 Lyon,"8,8"
Gamelle et Timbale,133 Rue Baraban 69003 Lyon,"8,2"
36 Le Cosy,"36, rue du Mail 69004 Lyon","9,1"
Le 21 sur Vin,"21, boulevard Eugène Deruelle 69003 Lyon","8,9"
Zucca,70 Quai Charles de Gaulle 69006 Lyon,"8,7"
Chez Grand-Mère,"11, rue du Boeuf 69005 Lyon","8,5"
Auberge de l'Ile,7 Rue des Villas 69009 Lyon,"8,6"
Pop Pot,113 Rue Tête d'Or 69006 Lyon,"8,9"
André Melkonyan			,"62, cours Vitton			
 69006 Lyon","8,5"
La Tassée - Romain Borgeot,"20, rue de la Charité 69002 Lyon","8,7"
Fiston,44 Rue Mercière 69002 Lyon,"8,9"
Les Fines Gueules,"16, rue de la Lainerie 69005 Lyon","7,6"
La Quintessence,31 Rue du Bât d&#39;Argent 69001 Lyon,"8,8"
La Chimère,"14, rue du boeuf 69005 Lyon","8,6"
Brasserie Espace Carnot,"4, place Carnot 69002 Lyon","8,6"
Bistrot La Varenne,5 Place Gailleton 69002 Lyon,"8,7"
Fée Maison,"6, grande rue de Saint-Rambert 69009 Lyon","8,9"
L'Alexandrin - Laurent Rigal,83 Rue Moncey 69003 Lyon,9
Ludovic B,"90, rue Massena 69006 Lyon","8,3"
Les Culottes Longues,"42, rue Sala 69002 Lyon","8,4"
Tandoor and Wok,"18 Rue Clément Marot, Lyon, France 69007 Lyon","8,9"
Gang Nam,"6, rue Thomassin 69002 Lyon","8,6"
L'institution,24 Rue de la République 69002 Lyon,"8,5"
La Mangue Amère,"7, rue du Jardin des Plantes 69001 Lyon","9,1"
Les Bonnes Manières,104 Grande Rue de la Guillotière 69007 Lyon,"8,8"
L'Etoile d'Orient,"31, rue des Remparts d'Ainay 69002 Lyon","8,7"
Jols Lyon,"283, avenue Jean Jaurès 69007 Lyon","8,1"
Fabrice Moya,"97, rue de Vienne 69008 Lyon","8,9"
La Meunière,"11, rue Neuve 69001 Lyon","9,1"
Aux Trois Maries,"1, rue des Trois Maries 69005 Lyon","8,8"
AOC Hôtel Dieu,28 Rue Louis Paufique 69002 Lyon,7
Bistrot Le Charité,37 Rue de la Charité 69002 Lyon,"8,5"
Elie Henry et Fils,21 Rue Jean Larrive 69003 Lyon,"9,1"
Monogatari,14 Rue Royale 69001 Lyon,"7,8"
La Vallée des Rois - Grand Casino de Lyon,70 Quai Charles de Gaulle 69006 Lyon,8
Bouchon Thomas,3 rue Laurencin 69002 Lyon,"8,6"
Le Jardin des Dombes,"4, rue des Nuits 69004 Lyon","6,3"
Melle Simone,26 Cours de Verdun Perrache 69002 Lyon,9
VCB Viens Chercher Bonheur,119 Route de Vienne 69008 Lyon,"8,5"
Le Passage - Frédéric Cordier,"8, rue du Plâtre 69001 Lyon","8,8"
Le Garde Manger Bistro Resto Apero,"9, rue Denuziere 69002 Lyon","8,8"
Les Terrasses de Lyon - David Delsart,"25, montée Saint-Barthélemy 69005 Lyon",9
Le Comptoir Brunet,23 Rue Claudia 69002 Lyon,"8,4"
L'inaTTendu,95 Rue Bossuet 69006 Lyon,"8,2"
La Muse en Bouche,"97, rue de Gerland 69007 Lyon","8,3"
La Table 101,101 Rue Moncey 69003 Lyon,"8,5"
Bistrot Gustave,"9 Rue des Marronniers, Lyon, France 69002 Lyon","8,6"
Le Splendid,"3, place Jules Ferry 69006 Lyon","8,4"
Le Quai 9,"46, quai Jayr 69009 Lyon","8,3"
Fubuki,"17, rue Gentil 69002 Lyon","8,4"
Brasserie L'Est,"14, Place Jules Ferry 69006 Lyon","9,1"
L'Endroit Lyon Vaise,"14-16, rue de la Navigation 69009 Lyon","8,9"
Le St Trop,"5, quai Riboud 69002 Lyon","8,7"
L'Esprit Bistrot Monplaisir,"13, rue Berchet 69008 Lyon","9,2"
L'Épicerie Comptoir - Les Halles,"40, rue Dunoir 69003 Lyon","8,5"
L'Entracte Bar Restaurant,"123, rue André Bollier 69007 Lyon","6,7"
Bateau Bellona,Pied du Pont Pasteur - Rive Droite du Rhône 69002 Lyon,"8,6"
