Le Boeuf d'Argent;29 Rue du Bœuf 69005 Lyon;9,3;45.7621183;4.8266441
L'Étage;4, place des Terreaux 69001 Lyon;9,3;45.7678015;4.8336427
L'Adresse;41, quai Pierre Scize 69009 Lyon;8;45.766228;4.8183665
Yamato;72, boulevard des Brotteaux 69006 Lyon;8,4;45.7641853;4.857065
Conakry;112, Grande Rue de la Guillotiere 69007 Lyon;8,1;45.7505472;4.848989700000001
Les Pampres Rouges;4, place Neuve Saint-Jean 69005 Lyon;7,7;45.7628092;4.8272575
A La Traboule;3, place du Gouvernement 69005 Lyon;7,9;45.7637445;4.828516599999999
Le bistrot des 4 Chapeaux;14 Rue des Quatre Chapeaux 69002 Lyon;9,2;45.7620859;4.834549099999999
Côté Berthelot;200, avenue Berthelot 69007 Lyon;8,3;45.7404538;4.8545194
Brasserie de la Bourse du Travail;69, rue Moncey 69003 Lyon;8,4;45.7600916;4.8488511
La Gamelle de Montchat;29 Cours Richard Vitton 69003 Lyon;9;45.7538091;4.8893103
Burgundy Lounge;24, quai Saint-Antoine 69002 Lyon;9,4;45.7628016;4.8321235
Pierre Orsi;"3, place Kléber
 69006 Lyon";9,1;45.7694546;4.8491295
Le Petit Persan;8, rue Longue 69001 Lyon;9,1;45.7651869;4.8325935
Le Garage;67, avenue du Maréchal de Saxe 69003 Lyon;8,6;45.76205239999999;4.8455921
Midi Minuit République;10 Rue de la République, Lyon, France 69001 Lyon;8,2;45.7655346;4.8357041
Casa Lola;5 Rue Pizay 69001 Lyon;8,8;45.7670932;4.8350538
Le Bouche à Oreille;9, rue Claudia 69002 Lyon;8,5;45.76458359999999;4.8376567
Restaurant Pourquoi Pas;71, rue Pierre Corneille 69006 Lyon;8,3;45.7640094;4.8439757
Yoshi;5 Rue Dumenge 69004 Lyon;8,3;45.7768883;4.8336046
Restaurant de Fourvière;9, place de Fourvière 69005 Lyon;8,3;45.7619058;4.8226604
Le Saint Vincent;6, place Fernand Rey 69001 Lyon;8,3;45.7690107;4.8294453
Edomae Sushi;116, rue Paul Bert 69003 Lyon;8,3;45.7568878;4.8544125
Un Moment à Part;40, rue de la charité 69002 Lyon;8,2;45.7527297;4.831335999999999
L'Attrape-Coeurs;10, rue Burdeau 69001 Lyon;8,4;45.7699137;4.8301836
Le Bistrot du Potager #2;163 Boulevard de Stalingrad 69006 Lyon;9,1;45.7705689;4.8587379
Le Bouchon des Cordeliers;15, rue Claudia 69002 Lyon;9;45.7641948;4.8376335
Quirinale;6, rue Bossuet 69006 Lyon;8,7;45.7672043;4.8448727
Café Épicerie - Hôtel Cour des Loges;2-8, rue du Boeuf 69005 Lyon;8,6;45.7632944;4.8270516
L'Epicerie Comptoir - Vaise;39, rue des Docks 69009 Lyon;9,1;45.7864741;4.811325099999999
Naruto Sushi;37, rue Marietton 69009 Lyon;8,3;45.774936;4.8041068
Un Sushi;117, rue Servient 69003 Lyon;8,2;45.7606786;4.8512242
Do Mo Restaurant;45, quai Rambaud 69002 Lyon;8,4;45.7379987;4.8149521
La Crêperie du Major;12, rue Major Martin 69001 Lyon;9,1;45.7666115;4.8326521
L'Atelier du Pizzaiolo;5, quai Antoine Riboud 69002 Lyon;8,9;45.74220469999999;4.817912199999999
Le Cazenove;75, rue Boileau 69006 Lyon;9,4;45.7697258;4.8490741
Jour de Marché;14, rue Molière 69006 Lyon;9;45.7667961;4.8421828
Brasserie Le Nord;18, rue Neuve 69002 Lyon;8,9;45.76517219999999;4.8355146
Intermezzo;1, quai Antoine Riboud 69002 Lyon;8,8;45.7431736;4.8158382
Crêperie Praline et Fleur de Sel;95, rue de Gerland 69007 Lyon;8,6;45.7361767;4.8398652
Meiji Era;13, rue Thomassin 69002 Lyon;8,2;45.7618015;4.834421
Burger & Wine Martinière;27 Rue de la Martinière, Lyon, France 69001 Lyon;7,9;45.768336;4.830296199999999
Domeva Caffé;24 - 26, rue de Bourgogne 69009 Lyon;8,8;45.776901;4.8039915
Soleil Levant;204, rue Garibaldi 69003 Lyon;8,4;45.7591067;4.8520512
Lem Sushi;3, place des Cordeliers 69002 Lyon;8,5;45.7637231;4.8376285
Steak & Co;67 bis, cours Vitton 69006 Lyon;8,2;45.76999;4.8565662
Au Vilain Petit Canard;41, rue Franklin 69002 Lyon;8,6;45.7521968;4.8302097
Etcheberry;20 Rue Palais Grillet 69002 Lyon;8,4;45.762396;4.8351354
Entr'acte;46, rue Ferrandière 69002 Lyon;8,8;45.7620152;4.8374251
Brasserie Debourg;29, avenue Debourg 69007 Lyon;8,3;45.7320849;4.829625399999999
Délices et Sens;19, rue Gentil 69002 Lyon;8,5;45.7650647;4.8364569
Aromo;15 Rue Montesquieu 69007 Lyon;9,3;45.7537965;4.840679499999999
Le Bistrot de Montchat;72, cours Docteur Long 69003 Lyon;9;45.7499472;4.8860719
Saveur d'Orient;46 Cours Charlemagne 69002 Lyon;9;45.7455581;4.822884999999999
L'Allegria Tre;21 Rue du Bât-d'Argent 69001 Lyon;8,1;45.76618999999999;4.8369991
Place des Sens;5, place Edgar Quinet 69006 Lyon;9;45.7664888;4.8450027
Grand Café de la Préfecture;10, rue Servient 69003 Lyon;8,5;45.7598283;4.8420292
Prairial;11 Rue Chavanne 69001 Lyon;9,1;45.7649342;4.8325418
Eat Sushi;27, quai Jean Moulin 69002 Lyon;8,4;45.7637742;4.8379052
Le Potager des Halles;3, rue de la Martinière 69001 Lyon;8,8;45.7682943;4.8285276
Cabaret L'Âne Rouge - Dîner Spectacle;11, rue Juiverie 69005 Lyon;8,9;45.7653526;4.8274225
Arsenic;132, rue Pierre Corneille 69003 Lyon;9,1;45.7591729;4.8444888
Appart'68 - Fabrice BONNOT;68, rue de la Charité 69002 Lyon;8,2;45.7506745;4.8301712
Tutti Quanti;52, avenue Félix Faure 69003 Lyon;8,8;45.7527003;4.852898199999999
La Favorite;16, rue de la Favorite 69005 Lyon;8,8;45.7578398;4.8117769
La Cantine du Palais;158, rue de Crèqui 69003 Lyon;9,1;45.7620746;4.8471388
Le Café de la Mairie;44, quai Pierre Scize 69009 Lyon;8,9;45.7662025;4.8187358
Sambahia;13, rue du Doyenné 69005 Lyon;8,7;45.7588952;4.8260818
Cantabria;32 Rue du Bourbonnais, Lyon, France 69009 Lyon;8,9;45.77429129999999;4.803569700000001
Le Ras Le Bol;67, place Voltaire 69003 Lyon;8,5;45.757079;4.84878
L'Etincelle;13, rue Hippolyte Flandrin 69001 Lyon;8,1;45.7679423;4.830767
La Grillardière;4, rue Lainerie 69005 Lyon;8,6;45.7653539;4.8279269
Le Tire Bouchon;16 Rue du Bœuf 69005 Lyon;8,8;45.762911;4.8270442
La Trattoria de Saint-Jean;31, rue Saint-Jean 69005 Lyon;8,1;45.7625811;4.8277996
Second Souffle;5, rue Neuve 69001 Lyon;9,2;45.76521;4.8347865
Le Café du Jura;25, rue Tupin 69002 Lyon;9;45.76306410000001;4.8347374
Le Comptoir des Canuts;9, rue Dumont d'Urville 69004 Lyon;8,5;45.7773648;4.836012
Monplaisir Côte Cour;64, avenue des Frères Lumières 69008 Lyon;8,7;45.74499710000001;4.865197
Pléthore et Balthazar;72, rue Mercière 69002 Lyon;8,6;45.7617738;4.8329189
La Régate;88, cours Vitton 69006 Lyon;9;45.7698798;4.858601999999999
Carré Royal;16 Rue Royale, Lyon, France 69001 Lyon;9,1;45.7710421;4.8369699
IBIZA Café Restaurant;21, Rue Pouteau 69001 Lyon;7,3;45.77082069999999;4.8333922
L'Accord Parfait;49 rue de la Charité 69002 Lyon;8;45.7507139;4.8306043
Maître Boeuf;6, place de la Baleine 69005 Lyon;8,4;45.7631717;4.828106099999999
Cocoo Thaï;7 Rue Neuve 69001 Lyon;8;45.7653213;4.8349956
Tokyo;26, rue Servient 69003 Lyon;8,3;45.7598722;4.843333599999999
L'Italiano Vero;96 Route de Genas 69003 Lyon;8,5;45.7542076;4.8872916
La Petite Auberge;2, place Eugène Wernert 69005 Lyon;8,7;45.7554931;4.8157212
Le Bouchon Sully;20 Rue Sully 69006 Lyon;8,9;45.7705703;4.8438292
Une Affaire de Goût;25 Rue de Sèze 69006 Lyon;8,9;45.7682994;4.8457055
SidOlivier;68, rue de Gerland 69007 Lyon;8,3;45.7384596;4.839828199999999
Brasserie Léon de Lyon;1, rue Pléney, angle 4 Rue du Plâtre 69001 Lyon;8,8;45.7659406;4.833603099999999
A Ma Vigne;23 Rue Jean Larrive, Lyon, France 69003 Lyon;9,3;45.7573112;4.8413259
La Lambretta;74, rue de Marseille 69007 Lyon;8,9;45.7497871;4.8386308
Buenos Aires;12 Rue Neuve, Lyon, France 69002 Lyon;9,2;45.76510649999999;4.8351653
Les Fils à Maman;25, rue de l'Arbre Sec 69001 Lyon;9;45.7668316;4.837208299999999
Ksar;4 Rue Grobon, Lyon, France 69001 Lyon;8,4;45.7672905;4.8302756
A Nous les Caprices;50, rue Franklin 69002 Lyon;8,9;45.7517223;4.8311875
Le Gabion;13 boulevard Eugène Deruelle 69003 Lyon;8,6;45.7630065;4.8534041
Le Petit Saint Petersbourg;49, rue Garibaldi 69006 Lyon;7,9;45.7698845;4.850498099999999
Café Chenavard;20 Rue Paul Chenavard, 69001 Lyon, France 69001 Lyon;8,6;45.7656893;4.8326079
Le Restaurant des Îles;4, place Carnot 69002 Lyon;8,5;45.751767;4.8281462
Jérémy Galvan Restaurant;29, rue du Boeuf 69005 Lyon;9,4;45.7621183;4.8266441
L'Assiette du Parc;53, rue Duquesne 69006 Lyon;9;45.773042;4.8470496
Moody's Dinner Club;28 Rue René Leynaud 69001 Lyon;8,6;45.7699751;4.8348134
Brasserie L'Ouest;1, quai du Commerce 69009 Lyon;8,4;45.7852999;4.8129681
Bistrot Jul;2, quai de Bondy 69005 Lyon;8,9;45.76691830000001;4.8275412
La Bonâme de Bruno;5, grande rue des Feuillants 69001 Lyon;8,6;45.7701117;4.837127
Mama Shelter Lyon;13, rue Domer 69007 Lyon;8,6;45.7470629;4.8451194
Argenson;40, Allée Pierre de Coubertin 69007 Lyon;8,6;45.7230403;4.8288768
Silk Brasserie - Hôtel Sofitel;20, quai Gailleton 69002 Lyon;8,9;45.7547837;4.8340926
Le Buron de Lyon;16, rue Fenelon 69006 Lyon;8,6;45.76418950000001;4.8442392
Le Monde d'Angkor;27, Quai Jayr, Lyon, France 69009 Lyon;9;45.7717841;4.8113602
Épicerie;24, cours Albert Thomas 69008 Lyon;8,7;45.74832139999999;4.8626889
Koubalibre;4 Rue du Palais de Justice 69005 Lyon;8,8;45.7623326;4.8283322
Gamelle et Timbale;133 Rue Baraban 69003 Lyon;8,2;45.7563532;4.8673066
36 Le Cosy;36, rue du Mail 69004 Lyon;9,1;45.7791852;4.8334141
Le 21 sur Vin;21, boulevard Eugène Deruelle 69003 Lyon;8,9;45.7631567;4.8544638
Zucca;70 Quai Charles de Gaulle 69006 Lyon;8,7;45.7848246;4.8529434
Chez Grand-Mère;11, rue du Boeuf 69005 Lyon;8,5;45.7628841;4.8272349
Auberge de l'Ile;7 Rue des Villas 69009 Lyon;8,6;45.7974681;4.8276001
Pop Pot;113 Rue Tête d'Or 69006 Lyon;8,9;45.7647026;4.853415
André Melkonyan			;"62, cours Vitton			
 69006 Lyon";8,5;45.7695389;4.8554867
La Tassée - Romain Borgeot;20, rue de la Charité 69002 Lyon;8,7;45.7545414;4.8322237
Fiston;44 Rue Mercière 69002 Lyon;8,9;45.7629591;4.8322839
Les Fines Gueules;16, rue de la Lainerie 69005 Lyon;7,6;45.7649256;4.8279314
La Quintessence;"31 Rue du Bât d&#39;Argent 69001 Lyon";8,8;45.7663012;4.8375872
La Chimère;14, rue du boeuf 69005 Lyon;8,6;45.76321540000001;4.8266155
Brasserie Espace Carnot;4, place Carnot 69002 Lyon;8,6;45.751767;4.8281462
Bistrot La Varenne;5 Place Gailleton 69002 Lyon;8,7;45.7532365;4.8329509
Fée Maison;6, grande rue de Saint-Rambert 69009 Lyon;8,9;45.7984431;4.8308906
L'Alexandrin - Laurent Rigal;83 Rue Moncey 69003 Lyon;9;45.7609376;4.849114699999999
Ludovic B;90, rue Massena 69006 Lyon;8,3;45.7663162;4.8545672
Les Culottes Longues;42, rue Sala 69002 Lyon;8,4;45.7542851;4.8316849
Tandoor and Wok;18 Rue Clément Marot, Lyon, France 69007 Lyon;8,9;45.7368859;4.8336196
Gang Nam;6, rue Thomassin 69002 Lyon;8,6;45.7615863;4.833662599999999
L'institution;24 Rue de la République 69002 Lyon;8,5;45.76329279999999;4.8355744
La Mangue Amère;7, rue du Jardin des Plantes 69001 Lyon;9,1;45.76975789999999;4.830129299999999
Les Bonnes Manières;104 Grande Rue de la Guillotière 69007 Lyon;8,8;45.7509175;4.847551999999999
L'Etoile d'Orient;31, rue des Remparts d'Ainay 69002 Lyon;8,7;45.7527718;4.8312174
Jols Lyon;283, avenue Jean Jaurès 69007 Lyon;8,1;45.72991;4.833169199999999
Fabrice Moya;97, rue de Vienne 69008 Lyon;8,9;45.7384624;4.8522881
La Meunière;11, rue Neuve 69001 Lyon;9,1;45.7652781;4.8352191
Aux Trois Maries;1, rue des Trois Maries 69005 Lyon;8,8;45.7631963;4.8284632
AOC Hôtel Dieu;28 Rue Louis Paufique 69002 Lyon;7;45.7592066;4.8357549
Bistrot Le Charité;37 Rue de la Charité 69002 Lyon;8,5;45.751829;4.8310765
Elie Henry et Fils;21 Rue Jean Larrive 69003 Lyon;9,1;45.7574543;4.8413522
Monogatari;14 Rue Royale 69001 Lyon;7,8;45.7711681;4.8371591
La Vallée des Rois - Grand Casino de Lyon;70 Quai Charles de Gaulle 69006 Lyon;8;45.7848246;4.8529434
Bouchon Thomas;3 rue Laurencin 69002 Lyon;8,6;45.7530296;4.832140799999999
Le Jardin des Dombes;4, rue des Nuits 69004 Lyon;6,3;45.7778841;4.833755099999999
Melle Simone;26 Cours de Verdun Perrache 69002 Lyon;9;45.7484835;4.827823899999999
VCB Viens Chercher Bonheur;119 Route de Vienne 69008 Lyon;8,5;45.7372412;4.852700899999999
Le Passage - Frédéric Cordier;8, rue du Plâtre 69001 Lyon;8,8;45.76582459999999;4.8338668
Le Garde Manger Bistro Resto Apero;9, rue Denuziere 69002 Lyon;8,8;45.7467881;4.8215807
Les Terrasses de Lyon - David Delsart;25, montée Saint-Barthélemy 69005 Lyon;9;45.76304100000001;4.8260966
Le Comptoir Brunet;23 Rue Claudia 69002 Lyon;8,4;45.7638759;4.8376322
L'inaTTendu;95 Rue Bossuet 69006 Lyon;8,2;45.7683836;4.855053799999999
La Muse en Bouche;97, rue de Gerland 69007 Lyon;8,3;45.7360024;4.8397577
La Table 101;101 Rue Moncey 69003 Lyon;8,5;45.7617494;4.850128
Bistrot Gustave;9 Rue des Marronniers, Lyon, France 69002 Lyon;8,6;45.7569624;4.834852
Le Splendid;3, place Jules Ferry 69006 Lyon;8,4;45.7674688;4.858701
Le Quai 9;46, quai Jayr 69009 Lyon;8,3;45.7740083;4.808720999999999
Fubuki;17, rue Gentil 69002 Lyon;8,4;45.7650023;4.836282
Brasserie L'Est;14, Place Jules Ferry 69006 Lyon;9,1;45.7682067;4.8596002
L'Endroit Lyon Vaise;14-16, rue de la Navigation 69009 Lyon;8,9;45.7884259;4.812039500000001
Le St Trop;5, quai Riboud 69002 Lyon;8,7;45.74220469999999;4.817912199999999
L'Esprit Bistrot Monplaisir;13, rue Berchet 69008 Lyon;9,2;45.7410436;4.8689525
L'Épicerie Comptoir - Les Halles;40, rue Dunoir 69003 Lyon;8,5;45.7610636;4.8491439
L'Entracte Bar Restaurant;123, rue André Bollier 69007 Lyon;6,7;45.7352721;4.8380158
Bateau Bellona;Pied du Pont Pasteur - Rive Droite du Rhône 69002 Lyon;8,6;45.7477113;4.8240999
Djemi's Café;7 Quai des Célestins, Lyon, France 69002 Lyon;8,3;45.7604234;4.8308898
Les Terrasses du Valdo;146 bis, rue Pierre Valdo 69005 Lyon;8,5;45.7488704;4.780931499999999
Café du Gros Caillou;180 Boulevard de la Croix-Rousse 69001 Lyon;9,1;45.7743274;4.8348639
Rani Raja;3 Rue Soufflot 69005 Lyon;8,7;45.76427750000001;4.8278938
Les Petits Siamois;16, rue du Palais Grillet 69002 Lyon;8,6;45.7625249;4.835081499999999
Le Vin Gourmand;50, rue de la Villette 69003 Lyon;8,2;45.75941599999999;4.8613697
Le 71;71 Rue Masséna 69006 Lyon;8,1;45.7673565;4.8547513
La Terrasse de l'Antiquaille;Montée du chemin neuf 69005 Lyon;8,9;45.75992340000001;4.824464499999999
La Maison;4 Rue Jonas Salk 69007 Lyon;8,6;45.731354;4.823150099999999
Café des Artisans, Le Bouchon de Muriel;116 rue du Dauphiné 69003 Lyon;7,5;45.7539548;4.872620899999999
Brasserie Marius;39, boulevard Marius Vivier Merle 69003 Lyon;7,4;45.761428;4.858201999999999
Le Bistrot d'Abel;47 Rue de la Bourse 69002 Lyon;8,9;45.7640929;4.83692
Sawadee;175 Avenue Jean Jaurès 69007 Lyon;7,3;45.7378297;4.8378587
Le Bistrot d'Arno;3, rue Bugeaud 69006 Lyon;8,7;45.7658993;4.8419473
La Nonna;29, rue Ney 69006 Lyon;7,8;45.7694734;4.8553142
Dine Dong;89, rue Bossuet 69006 Lyon;8,5;45.76831019999999;4.8546364
Grand Café des Négociants;1, place Francisque Régaud 69002 Lyon;8,2;45.7632276;4.8344703
Le Penjab;25bis, quai Romain Rolland 69005 Lyon;8,5;45.761103;4.8282848
Éléphant;53, rue Ney 69006 Lyon;8,4;45.7679281;4.8556028
La Tête de Lard;13, rue Désirée 69001 Lyon;8,8;45.768522;4.8354104
Le Tandem;81, rue Louis Blanc 69006 Lyon;8,9;45.7653877;4.8555003
La Belle Assiette - Chef à Domicile;41 Rue Saint-Jean 69005 Lyon;9,1;45.7611833;4.8272778
Pasta Bella;172, cours Lafayette 69003 Lyon;7,9;45.7635179;4.8569726
Home Sushi;69, rue Marietton 69009 Lyon;8,5;45.7758;4.800604
Yzumi;71, rue Ney 69006 Lyon;8,2;45.7665956;4.855823900000001
Brasserie Lyon Plage - Hôtel Lyon Métropole;85, quai Joseph Gillet 69004 Lyon;7,5;45.78880239999999;4.8201931
Les Tables Claudiennes;41, rue des Tables Claudiennes 69001 Lyon;7,8;45.77096969999999;4.833097299999999
Namaskar;112 Cours Charlemagne 69002 Lyon;8,3;45.7408777;4.8189547
Vas-y Vas-y;10, rue des Verriers 69007 Lyon;8,9;45.7432811;4.8365447
Le Centre by Georges;14, rue Grolée 69002 Lyon;8,6;45.7607742;4.836899499999999
Côté Part Dieu;105, rue de la Part Dieu 69003 Lyon;8,4;45.760056;4.8511864
Le Baronn;2, rue des 3 Maries 69005 Lyon;8,3;45.7629168;4.8283741
Layali Beyrouth;38, rue du Dauphiné 69003 Lyon;8,8;45.75191969999999;4.865754
L'Épicerie Comptoir - Les Brotteaux;192, rue Cuvier 69006 Lyon;8,2;45.7677944;4.8576798
Bellaggio Grill;20 Rue du Dauphiné 69003 Lyon;7,8;45.7505341;4.8651409
Le Phénicien;81 Rue Masséna 69006 Lyon;9,1;45.76676820000001;4.8547854
Le castel café;35, rue Pierre Corneille 69006 Lyon;8,9;45.7660673;4.8436734
Sushi & Sushis;47 Rue de Gerland 69007 Lyon;8,7;45.7396721;4.840472399999999
Le Mondrian;1 Quai Claude Bernard 69007 Lyon;9,2;45.7544938;4.8396946
Le Comptoir Duquesne;24 Rue Duquesne 69006 Lyon;9;45.772554;4.8451612
Freshour;61 Rue Denuzière, Lyon, France 69002 Lyon;8,5;45.7426559;4.8178922
Le PAP : Papoter Autour d'un Plat;25 Rue Delandine 69002 Lyon;8,5;45.7450504;4.8260587
OKSUSHI;61, rue de seze 69006 Lyon;9,4;45.7685357;4.8494271
Café Perché;112 Cours Charlemagne 69002 Lyon;8,8;45.7408777;4.8189547
Bulgogi;74 cours Vitton 69006 Lyon;7,5;45.7697176;4.856557899999999
Papagayo;87, quai Pierre Scize 69005 Lyon;;45.7672541;4.8244185
Hua Yuan Xuan;20 Rue Mulet 69001 Lyon;;45.7656384;4.8364515
